"source","id_str","text","created_at","retweet_count","in_reply_to_user_id_str","favorite_count","is_retweet"
"Twitter for iPhone","965207569852780544","RT @mike_pence: Big night. Largest-ever Dallas County GOP Reagan Day Dinner. As I told the crowd, under President @realDonaldTrump: Promise…","Sun Feb 18 12:53:11 +0000 2018",12888,,0,true
"Twitter for iPhone","965205208191168512","Now that Adam Schiff is starting to blame President Obama for Russian meddling in the election, he is probably doing so as yet another excuse that the Democrats, lead by their fearless leader, Crooked Hillary Clinton, lost the 2016 election. But wasn’t I a great candidate?","Sun Feb 18 12:43:48 +0000 2018",19735,,90179,false
"Twitter for iPhone","965202556204003328","I never said Russia did not meddle in the election, I said “it may be Russia, or China or another country or group, or it may be a 400 pound genius sitting in bed and playing with his computer.” The Russian “hoax” was that the Trump campaign colluded with Russia - it never did!","Sun Feb 18 12:33:16 +0000 2018",31757,,127176,false
"Twitter for iPhone","965199840471810049","Finally, Liddle’ Adam Schiff, the leakin’ monster of no control, is now blaming the Obama Administration for Russian meddling in the 2016 Election. He is finally right about something. Obama was President, knew of the threat, and did nothing. Thank you Adam!","Sun Feb 18 12:22:29 +0000 2018",28411,,108688,false
"Twitter for iPhone","965194903142719489","Never gotten over the fact that Obama was able to send $1.7 Billion Dollars in CASH to Iran and nobody in Congress, the FBI or Justice called for an investigation!","Sun Feb 18 12:02:52 +0000 2018",38387,,124701,false
"Twitter for iPhone","965079126829871104","General McMaster forgot to say that the results of the 2016 election were not impacted or changed by the Russians and that the only Collusion was between Russia and Crooked H, the DNC and the Dems. Remember the Dirty Dossier, Uranium, Speeches, Emails and the Podesta Company!","Sun Feb 18 04:22:48 +0000 2018",27037,,96734,false
"Twitter for iPhone","965075589274177536","Very sad that the FBI missed all of the many signals sent out by the Florida school shooter. This is not acceptable. They are spending too much time trying to prove Russian collusion with the Trump campaign - there is no collusion. Get back to the basics and make us all proud!","Sun Feb 18 04:08:45 +0000 2018",37025,,149114,false
"Twitter for iPhone","965009332042596352","Just like they don’t want to solve the DACA problem, why didn’t the Democrats pass gun control legislation when they had both the House &amp; Senate during the Obama Administration. Because they didn’t want to, and now they just talk!","Sat Feb 17 23:45:28 +0000 2018",32193,,122987,false
"Twitter for iPhone","964956781670694912","“I have seen all of the Russian ads and I can say very definitively that swaying the election was *NOT* the main goal.”
Rob Goldman
Vice President of Facebook Ads https://t.co/A5ft7cGJkE","Sat Feb 17 20:16:39 +0000 2018",17148,,58403,false
"Twitter for iPhone","964955496137535488","The Fake News Media never fails. Hard to ignore this fact from the Vice President of Facebook Ads, Rob Goldman! https://t.co/XGC7ynZwYJ","Sat Feb 17 20:11:32 +0000 2018",18770,,60818,false
"Twitter for iPhone","964949269374529538","Funny how the Fake News Media doesn’t want to say that the Russian group was formed in 2014, long before my run for President. Maybe they knew I was going to run even though I didn’t know!","Sat Feb 17 19:46:48 +0000 2018",25523,,105922,false
"Twitter for iPhone","964946611502747649","Deputy A.G. Rod Rosenstein stated at the News Conference: “There is no allegation in the indictment that any American was a knowing participant in this illegal activity. There is no allegation in the indictment that the charged conduct altered the outcome of the 2016 election.","Sat Feb 17 19:36:14 +0000 2018",21867,,90335,false
"Twitter for iPhone","964944088696049666","“Charges Deal Don A Big Win,” written by Michael Goodwin of the @nypost, succinctly states that “the Russians had no impact on the election results.” There was no Collusion with the Trump Campaign. “She lost the old-fashioned way, by being a terrible candidate. Case closed.”","Sat Feb 17 19:26:13 +0000 2018",18892,,71274,false
"Twitter for iPhone","964938678362628096","Melania and I met such incredible people last night in Broward County, Florida. Will never forget them, or the evening!","Sat Feb 17 19:04:43 +0000 2018",14745,,97126,false
"Twitter for iPhone","964724390637244417","Our entire Nation, w/one heavy heart, continues to pray for the victims &amp; their families in Parkland, FL. To teachers, law enforcement, first responders &amp; medical professionals who responded so bravely in the face of danger: We THANK YOU for your courage! https://t.co/3yJsrebZMG https://t.co/ti791dENTy","Sat Feb 17 04:53:13 +0000 2018",24716,,118119,false
"Twitter for iPhone","964594780088033282","Russia started their anti-US campaign in 2014, long before I announced that I would run for President. The results of the election were not impacted. The Trump campaign did nothing wrong - no collusion!","Fri Feb 16 20:18:11 +0000 2018",37049,,141288,false
"Twitter for iPhone","964512164865363968","Cannot believe how BADLY DACA recipients have been treated by the Democrats...totally abandoned! Republicans are still working hard.","Fri Feb 16 14:49:54 +0000 2018",21900,,97235,false
"Twitter for iPhone","964509154357411840","I will be leaving for Florida today to meet with some of the bravest people on earth - but people whose lives have been totally shattered. Am also working with Congress on many fronts.","Fri Feb 16 14:37:56 +0000 2018",19836,,120054,false
"Twitter for iPhone","964232645495459840","Presidential Proclamation Honoring the Victims of the Tragedy in Parkland, Florida: https://t.co/RTQWAKiSnR https://t.co/Nhs32bm5zB","Thu Feb 15 20:19:11 +0000 2018",13591,,61970,false
"Twitter for iPad","964219299211735040","...lottery, continues deadly catch-and-release, and bars enforcement even for FUTURE illegal immigrants. Voting for this amendment would be a vote AGAINST law enforcement, and a vote FOR open borders. If Dems are actually serious about DACA, they should support the Grassley bill!","Thu Feb 15 19:26:09 +0000 2018",15254,"25073877",60189,false
"Twitter for iPad","964219102683377665","The Schumer-Rounds-Collins immigration bill would be a total catastrophe. @DHSgov says it would be “the end of immigration enforcement in America.” It creates a giant amnesty (including for dangerous criminals), doesn’t build the wall, expands chain migration, keeps the visa...","Thu Feb 15 19:25:23 +0000 2018",20026,,72298,false
"Twitter for iPad","964218319783055360","RT @SpoxDHS: Schumer-Rounds-Collins destroys the ability of @DHSgov to enforce immigration laws, creating a mass amnesty for over 10 millio…","Thu Feb 15 19:22:16 +0000 2018",7999,,0,true
"Media Studio","964190995687591936","In times of tragedy, the bonds that sustain us are those of family, faith, community, and country. These bonds are stronger than the forces of hatred and evil - and these bonds grow even stronger in the hours of our greatest need. https://t.co/bu140nscez https://t.co/OoTXMCSexB","Thu Feb 15 17:33:41 +0000 2018",19695,,82584,false
"Twitter for iPhone","964151653669711872","While the Republicans and Democrats in Congress are working hard to come up with a solution to DACA, they should be strongly considering a system of Merit Based Immigration so that we will have the people ready, willing and able to help all of those companies moving into the USA!","Thu Feb 15 14:57:21 +0000 2018",20642,,100976,false
"Twitter for iPhone","964110212885106689","So many signs that the Florida shooter was mentally disturbed, even expelled from school for bad and erratic behavior. Neighbors and classmates knew he was a big problem. Must always report such instances to authorities, again and again!","Thu Feb 15 12:12:41 +0000 2018",20780,"25073877",89071,false
"Twitter for iPhone","963879275324760070","Just spoke to Governor Rick Scott. We are working closely with law enforcement on the terrible Florida school shooting.","Wed Feb 14 20:55:01 +0000 2018",19524,,111834,false
"Twitter for iPhone","963878055969198080","My prayers and condolences to the families of the victims of the terrible Florida shooting. No child, teacher or anyone else should ever feel unsafe in an American school.","Wed Feb 14 20:50:11 +0000 2018",39628,,174183,false
"Twitter for iPad","963853233000275969","Today, I was honored to be joined by Republicans and Democrats from both the House and Senate, as well as members of my Cabinet - to discuss the urgent need to rebuild and restore America’s depleted infrastructure. https://t.co/8ByoQJsjTT https://t.co/BVBRDvHfcC","Wed Feb 14 19:11:32 +0000 2018",11359,,56369,false
"Media Studio","963839056533626880","As we come together to celebrate the extraordinary contributions of African-Americans to our nation, our thoughts turn to the heroes of the civil rights movement whose courage and sacrifice have inspired us all. Proclamation: https://t.co/Sw1iGIJgWV https://t.co/Nx0AEKZy5p","Wed Feb 14 18:15:12 +0000 2018",15026,,65423,false
"Twitter for iPhone","963365328716812288","Negotiations on DACA have begun. Republicans want to make a deal and Democrats say they want to make a deal. Wouldn’t it be great if we could finally, after so many years, solve the DACA puzzle. This will be our last chance, there will never be another opportunity! March 5th.","Tue Feb 13 10:52:47 +0000 2018",22659,,107190,false
"Twitter for iPhone","963362959463469058","Our infrastructure plan has been put forward and has received great reviews by everyone except, of course, the Democrats. After many years we have taken care of our Military, now we have to fix our roads, bridges, tunnels, airports and more. Bipartisan, make deal Dems?","Tue Feb 13 10:43:22 +0000 2018",22903,,105996,false
"Twitter for iPhone","963152799486828544","The journey to #MAGA began @CPAC 2011 and the opportunity to reconnect with friends and supporters is something I look forward to every year. See you at #CPAC2018!","Mon Feb 12 20:48:16 +0000 2018",14387,,67800,false
"Twitter for iPhone","963033580107653120","Thank you to Sue Kruczek, who lost her wonderful and talented son Nick to the Opioid scourge, for your kind words while on @foxandfriends. We are fighting this terrible epidemic hard - Nick will not have died in vain!","Mon Feb 12 12:54:32 +0000 2018",16854,,87081,false
"Twitter for iPhone","963031666150313984","This will be a big week for Infrastructure. After so stupidly spending $7 trillion in the Middle East, it is now time to start investing in OUR Country!","Mon Feb 12 12:46:56 +0000 2018",30446,,139472,false
"Twitter for iPhone","962787355932360706","Just spoke to @JohnKasich to express condolences and prayers to all for the horrible shooting of two great police officers from @WestervillePD. This is a true tragedy!","Sun Feb 11 20:36:08 +0000 2018",14954,,77715,false
"Twitter for iPhone","962784821389996033","Rep. Lou Barletta, a Great Republican from Pennsylvania who was one of my very earliest supporters, will make a FANTASTIC Senator. He is strong &amp; smart, loves Pennsylvania &amp; loves our Country! Voted for Tax Cuts, unlike Bob Casey, who listened to Tax Hikers Pelosi and Schumer!","Sun Feb 11 20:26:03 +0000 2018",24147,,97505,false
